scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S4,continuous,A,200,240.0,66.66666666666667,0.3,721,32,32,152.4,500ft,disabled,1080,127,953,862,862,1357,8749,2219,2726.4308978158915,288.88930440787436,236.90004749574803,236.90004749574803,201.19837649202938,438.0984239877779,1701.3387242906992,969,0.0,0.0,0.0,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1017,63,199,5.42713567839196,9,S4_cycle0000_A_seed1000,0,1000,A
S4,continuous,B,200,240.0,66.66666666666667,0.3,761,32,32,152.4,500ft,disabled,1080,304,776,63,0,1175,5843,1175,3046.8639224165595,317.31868543896803,267.55138345241994,267.55138345241994,208.6606594996474,476.21204295206786,1651.996625850119,985,0.04037909158679956,0.5388888888888889,0.06018518518518518,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1010,70,199,5.42713567839196,11,S4_cycle0000_B_seed1001,0,1001,B
S4,continuous,C,200,240.0,66.66666666666667,0.3,728,32,32,152.4,500ft,disabled,1080,375,705,743,743,314,1200,1057,2869.1125094658387,310.6792168329847,301.35325308512165,286.0199197517884,191.8574648875045,477.8773846392939,1795.472706370856,970,0.0,0.4287037037037037,0.0,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1014,66,200,5.4,10,S4_cycle0000_C_seed1002,0,1002,C
S4,continuous,D,200,240.0,66.66666666666667,0.3,734,32,32,152.4,500ft,disabled,1080,638,442,38,8,337,1310,345,3006.407464187248,324.33793846448333,312.8128703547804,293.1462036881139,190.0618790662827,483.20808275439646,2067.884427396013,973,0.021749254534174263,0.725925925925926,0.03425925925925926,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1007,73,200,5.4,10,S4_cycle0000_D_seed1003,0,1003,D
S4,continuous,A,200,240.0,66.66666666666667,0.3,783,32,32,152.4,500ft,disabled,1080,106,974,1444,1444,1168,6604,2612,2910.8704804388394,263.6328206657417,227.3277363385223,227.3277363385223,180.44789485473115,407.7756311932536,1691.2214524336814,980,0.0,0.0,0.0,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1022,58,200,5.4,11,S4_cycle0001_A_seed1100,1,1100,A
S4,continuous,B,200,240.0,66.66666666666667,0.3,722,32,32,152.4,500ft,disabled,1080,311,769,33,0,1149,4804,1149,2931.7948654531388,291.43582072073946,210.91065493370493,210.91065493370493,182.00639556690038,392.9170505006055,1320.9121774590594,975,0.0077738723355040475,0.5861111111111111,0.026851851851851852,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1021,59,198,5.454545454545454,10,S4_cycle0001_B_seed1101,1,1101,B
S4,continuous,C,200,240.0,66.66666666666667,0.3,790,32,32,152.4,500ft,disabled,1080,374,706,634,634,295,945,929,2877.4448894152288,297.6593622171015,293.5658917779723,272.954780666861,184.02152326796528,456.9763039348256,1548.7230377649867,968,0.0,0.4388888888888889,0.0,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1013,67,200,5.4,10,S4_cycle0001_C_seed1102,1,1102,C
S4,continuous,D,200,240.0,66.66666666666667,0.3,708,32,32,152.4,500ft,disabled,1080,675,405,24,2,264,505,266,2705.21311609076,267.9626860072971,255.6170465854853,235.06149102992978,142.60894580262703,377.6704368325573,1306.9044829384648,952,0.03893419051823059,0.6935185185185185,0.021296296296296296,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1023,57,200,5.4,11,S4_cycle0001_D_seed1103,1,1103,D
S4,continuous,A,200,240.0,66.66666666666667,0.3,710,32,32,152.4,500ft,disabled,1080,125,955,954,954,1242,6873,2196,2798.840769553673,265.18541050835114,204.9120684912187,204.9120684912187,178.62172150593454,383.53378999715255,1373.8405171680015,969,0.0,0.0,0.0,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1024,56,200,5.4,12,S4_cycle0002_A_seed1200,2,1200,A
S4,continuous,B,200,240.0,66.66666666666667,0.3,774,32,32,152.4,500ft,disabled,1080,324,756,27,0,1158,6550,1158,3024.7197962688306,325.40732153420004,243.97928342121196,243.97928342121196,223.179355794292,467.1586392155032,1732.6517763095399,975,0.014920875355493603,0.5324074074074074,0.024074074074074074,S4,"5000m 광역 UAM 도시, 2시간 누적 운항",5000,5000,100,20,200,10800,10,1080,1019,61,200,5.4,10,S4_cycle0002_B_seed1201,2,1201,B
